data has 1335285 characters, 97 unique.
[sample@epoch 340] um pe 4eicp i	 eMsse e n c- nt iniec eatfNBo hnett d)ao eriit n .elo ib	lce t t a-gtea_ora ds rdew aas)d ounaoehcic	n chi-a.pi hieee?e" eritaiacmne ie ...
Epoch 0341 | avg_token_loss: 3.2764 | ppl: 26.48
Epoch 0342 | avg_token_loss: 3.2873 | ppl: 26.77
Epoch 0343 | avg_token_loss: 3.2896 | ppl: 26.83
Epoch 0344 | avg_token_loss: 3.2831 | ppl: 26.66
Epoch 0345 | avg_token_loss: 3.2908 | ppl: 26.86
Epoch 0346 | avg_token_loss: 3.2852 | ppl: 26.71
Epoch 0347 | avg_token_loss: 3.2840 | ppl: 26.68
Epoch 0348 | avg_token_loss: 3.2989 | ppl: 27.08
Epoch 0349 | avg_token_loss: 3.2922 | ppl: 26.90
Epoch 0350 | avg_token_loss: 3.2914 | ppl: 26.88
Epoch 0351 | avg_token_loss: 3.2827 | ppl: 26.65
Epoch 0352 | avg_token_loss: 3.2888 | ppl: 26.81
Epoch 0353 | avg_token_loss: 3.2830 | ppl: 26.66
Epoch 0354 | avg_token_loss: 3.2863 | ppl: 26.74
Epoch 0355 | avg_token_loss: 3.2940 | ppl: 26.95
Epoch 0356 | avg_token_loss: 3.2759 | ppl: 26.47
